,Date,Store,DayOfWeek,Date.1,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,year,month,day,dayYear,week_num,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,PromoInterval
0,2013-01-01,39,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
1,2013-01-01,680,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,c,a,170,,,"Mar,Jun,Sept,Dec"
2,2013-01-01,1064,2,2013-01-01,0,0,0,0,a,1,2013,1,1,1,0,a,c,420,,,
3,2013-02-01,39,3,2013-02-01,4144,608,1,0,0,1,2013,1,2,2,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
4,2013-02-01,680,3,2013-02-01,5459,957,1,0,0,1,2013,1,2,2,0,c,a,170,,,"Mar,Jun,Sept,Dec"
5,2013-02-01,1064,3,2013-02-01,8964,1121,1,0,0,1,2013,1,2,2,0,a,c,420,,,
6,2013-03-01,39,4,2013-03-01,3527,525,1,0,0,1,2013,1,3,3,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
7,2013-03-01,680,4,2013-03-01,4793,844,1,0,0,1,2013,1,3,3,0,c,a,170,,,"Mar,Jun,Sept,Dec"
8,2013-03-01,1064,4,2013-03-01,7474,928,1,0,0,1,2013,1,3,3,0,a,c,420,,,
9,2013-04-01,39,5,2013-04-01,3604,536,1,0,0,1,2013,1,4,4,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
10,2013-04-01,680,5,2013-04-01,5298,872,1,0,0,1,2013,1,4,4,0,c,a,170,,,"Mar,Jun,Sept,Dec"
11,2013-04-01,1064,5,2013-04-01,7673,954,1,0,0,1,2013,1,4,4,0,a,c,420,,,
12,2013-05-01,39,6,2013-05-01,2435,394,1,0,0,0,2013,1,5,5,0,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
13,2013-05-01,680,6,2013-05-01,6163,974,1,0,0,0,2013,1,5,5,0,c,a,170,,,"Mar,Jun,Sept,Dec"
14,2013-05-01,1064,6,2013-05-01,7335,952,1,0,0,0,2013,1,5,5,0,a,c,420,,,
15,2013-06-01,39,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
16,2013-06-01,680,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,c,a,170,,,"Mar,Jun,Sept,Dec"
17,2013-06-01,1064,7,2013-06-01,0,0,0,0,0,0,2013,1,6,6,1,a,c,420,,,
18,2013-07-01,39,1,2013-07-01,9136,1046,1,1,0,0,2013,1,7,7,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
19,2013-07-01,680,1,2013-07-01,5827,878,1,1,0,0,2013,1,7,7,1,c,a,170,,,"Mar,Jun,Sept,Dec"
20,2013-07-01,1064,1,2013-07-01,12690,1375,1,1,0,0,2013,1,7,7,1,a,c,420,,,
21,2013-08-01,39,2,2013-08-01,5510,706,1,1,0,0,2013,1,8,8,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
22,2013-08-01,680,2,2013-08-01,5510,813,1,1,0,0,2013,1,8,8,1,c,a,170,,,"Mar,Jun,Sept,Dec"
23,2013-08-01,1064,2,2013-08-01,11137,1273,1,1,0,0,2013,1,8,8,1,a,c,420,,,
24,2013-09-01,39,3,2013-09-01,4154,587,1,1,0,0,2013,1,9,9,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
25,2013-09-01,680,3,2013-09-01,5358,764,1,1,0,0,2013,1,9,9,1,c,a,170,,,"Mar,Jun,Sept,Dec"
26,2013-09-01,1064,3,2013-09-01,8456,904,1,1,0,0,2013,1,9,9,1,a,c,420,,,
27,2013-10-01,39,4,2013-10-01,5120,705,1,1,0,0,2013,1,10,10,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
28,2013-10-01,680,4,2013-10-01,4716,747,1,1,0,0,2013,1,10,10,1,c,a,170,,,"Mar,Jun,Sept,Dec"
29,2013-10-01,1064,4,2013-10-01,10011,1166,1,1,0,0,2013,1,10,10,1,a,c,420,,,
30,2013-11-01,39,5,2013-11-01,4766,662,1,1,0,0,2013,1,11,11,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
31,2013-11-01,680,5,2013-11-01,4669,803,1,1,0,0,2013,1,11,11,1,c,a,170,,,"Mar,Jun,Sept,Dec"
32,2013-11-01,1064,5,2013-11-01,9485,1200,1,1,0,0,2013,1,11,11,1,a,c,420,,,
33,2013-12-01,39,6,2013-12-01,2398,396,1,0,0,0,2013,1,12,12,1,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
34,2013-12-01,680,6,2013-12-01,5839,930,1,0,0,0,2013,1,12,12,1,c,a,170,,,"Mar,Jun,Sept,Dec"
35,2013-12-01,1064,6,2013-12-01,7400,882,1,0,0,0,2013,1,12,12,1,a,c,420,,,
36,2013-01-13,39,7,2013-01-13,0,0,0,0,0,0,2013,1,13,13,2,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
37,2013-01-13,680,7,2013-01-13,0,0,0,0,0,0,2013,1,13,13,2,c,a,170,,,"Mar,Jun,Sept,Dec"
38,2013-01-13,1064,7,2013-01-13,0,0,0,0,0,0,2013,1,13,13,2,a,c,420,,,
39,2013-01-14,39,1,2013-01-14,2939,458,1,0,0,0,2013,1,14,14,2,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
40,2013-01-14,680,1,2013-01-14,3640,677,1,0,0,0,2013,1,14,14,2,c,a,170,,,"Mar,Jun,Sept,Dec"
41,2013-01-14,1064,1,2013-01-14,6225,823,1,0,0,0,2013,1,14,14,2,a,c,420,,,
42,2013-01-15,39,2,2013-01-15,2591,443,1,0,0,0,2013,1,15,15,2,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
43,2013-01-15,680,2,2013-01-15,3643,674,1,0,0,0,2013,1,15,15,2,c,a,170,,,"Mar,Jun,Sept,Dec"
44,2013-01-15,1064,2,2013-01-15,6067,775,1,0,0,0,2013,1,15,15,2,a,c,420,,,
45,2013-01-16,39,3,2013-01-16,2850,491,1,0,0,0,2013,1,16,16,2,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
46,2013-01-16,680,3,2013-01-16,4228,704,1,0,0,0,2013,1,16,16,2,c,a,170,,,"Mar,Jun,Sept,Dec"
47,2013-01-16,1064,3,2013-01-16,7050,847,1,0,0,0,2013,1,16,16,2,a,c,420,,,
48,2013-01-17,39,4,2013-01-17,3310,478,1,0,0,0,2013,1,17,17,2,a,a,260,10.0,2006.0,"Feb,May,Aug,Nov"
49,2013-01-17,680,4,2013-01-17,3765,690,1,0,0,0,2013,1,17,17,2,c,a,170,,,"Mar,Jun,Sept,Dec"
